date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:31:05	363732/363732	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Jan%202025%2009:10:34%20GMT	https://kwasu.edu.ng/	C:/Users/adebi/Desktop/2025_projects/adejoke_chatbot/Kwasu_Scrape/kwasu.edu.ng/index.html	(from )
15:31:06	262/262	---MC-	200	added ('OK')	text/plain	date:Tue,%2014%20Jan%202025%2014:31:03%20GMT	https://kwasu.edu.ng/robots.txt		(from )
15:31:08	101892/101892	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202025%2009:49:16%20GMT	https://kwasu.edu.ng/wp-content/cache/min/1/wp-content/plugins/easy-sticky-sidebar/assets/css/fontawesome.css?ver=1736416156	C:/Users/adebi/Desktop/2025_projects/adejoke_chatbot/Kwasu_Scrape/kwasu.edu.ng/wp-content/cache/min/1/wp-content/plugins/easy-sticky-sidebar/assets/css/fontawesomefb9a.css	(from https://kwasu.edu.ng/)
15:31:08	19125/19125	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2009%20Jan%202025%2009:54:31%20GMT	https://kwasu.edu.ng/feed/	C:/Users/adebi/Desktop/2025_projects/adejoke_chatbot/Kwasu_Scrape/kwasu.edu.ng/feed/index.html	(from https://kwasu.edu.ng/)
15:31:08	8644/8644	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202025%2009:49:16%20GMT	https://kwasu.edu.ng/wp-content/cache/min/1/wp-content/plugins/easy-sticky-sidebar/assets/css/sticky-sidebar.css?ver=1736416156	C:/Users/adebi/Desktop/2025_projects/adejoke_chatbot/Kwasu_Scrape/kwasu.edu.ng/wp-content/cache/min/1/wp-content/plugins/easy-sticky-sidebar/assets/css/sticky-sidebarfb9a.css	(from https://kwasu.edu.ng/)
15:31:08	0/0	---M--	200	added ('OK')	text/css	date:Fri,%2017%20Mar%202023%2011:13:04%20GMT	https://kwasu.edu.ng/wp-content/uploads/sticky-sidebar-generated.css	C:/Users/adebi/Desktop/2025_projects/adejoke_chatbot/Kwasu_Scrape/kwasu.edu.ng/wp-content/uploads/sticky-sidebar-generated.css	(from https://kwasu.edu.ng/)
15:31:09	8934/8934	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2009%20Jan%202025%2009:54:31%20GMT	https://kwasu.edu.ng/comments/feed/	C:/Users/adebi/Desktop/2025_projects/adejoke_chatbot/Kwasu_Scrape/kwasu.edu.ng/comments/feed/index.html	(from https://kwasu.edu.ng/)
15:31:09	67301/67301	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202025%2009:49:17%20GMT	https://kwasu.edu.ng/wp-content/cache/background-css/kwasu.edu.ng/wp-content/plugins/youtube-feed-pro/css/sb-youtube.min.css?wpr_t=1736845834	C:/Users/adebi/Desktop/2025_projects/adejoke_chatbot/Kwasu_Scrape/kwasu.edu.ng/wp-content/cache/background-css/kwasu.edu.ng/wp-content/plugins/youtube-feed-pro/css/sb-youtube.min7776.css	(from https://kwasu.edu.ng/)
15:31:09	955/955	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202025%2009:49:16%20GMT	https://kwasu.edu.ng/wp-content/cache/min/1/wp-content/plugins/insight-swatches/assets/css/style.css?ver=1736416156	C:/Users/adebi/Desktop/2025_projects/adejoke_chatbot/Kwasu_Scrape/kwasu.edu.ng/wp-content/cache/min/1/wp-content/plugins/insight-swatches/assets/css/stylefb9a.css	(from https://kwasu.edu.ng/)
15:31:10	15102/15102	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202025%2009:49:16%20GMT	https://kwasu.edu.ng/wp-content/cache/min/1/wp-content/plugins/tutor/assets/css/tutor-icon.min.css?ver=1736416156	C:/Users/adebi/Desktop/2025_projects/adejoke_chatbot/Kwasu_Scrape/kwasu.edu.ng/wp-content/cache/min/1/wp-content/plugins/tutor/assets/css/tutor-icon.minfb9a.css	(from https://kwasu.edu.ng/)
15:31:10	114706/114706	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2019:02:03%20GMT	https://kwasu.edu.ng/wp-includes/css/dist/block-library/style.min.css	C:/Users/adebi/Desktop/2025_projects/adejoke_chatbot/Kwasu_Scrape/kwasu.edu.ng/wp-includes/css/dist/block-library/style.min.css	(from https://kwasu.edu.ng/)
15:31:10	1428/1428	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202025%2009:49:16%20GMT	https://kwasu.edu.ng/wp-content/cache/min/1/wp-content/plugins/pdf-poster/dist/public.css?ver=1736416156	C:/Users/adebi/Desktop/2025_projects/adejoke_chatbot/Kwasu_Scrape/kwasu.edu.ng/wp-content/cache/min/1/wp-content/plugins/pdf-poster/dist/publicfb9a.css	(from https://kwasu.edu.ng/)
15:31:10	4629/4629	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Dec%202024%2019:30:28%20GMT	https://kwasu.edu.ng/wp-content/plugins/woo-smart-compare/assets/libs/perfect-scrollbar/css/perfect-scrollbar.min.css	C:/Users/adebi/Desktop/2025_projects/adejoke_chatbot/Kwasu_Scrape/kwasu.edu.ng/wp-content/plugins/woo-smart-compare/assets/libs/perfect-scrollbar/css/perfect-scrollbar.min.css	(from https://kwasu.edu.ng/)
15:31:11	2949/2949	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202025%2009:49:16%20GMT	https://kwasu.edu.ng/wp-content/cache/min/1/wp-content/plugins/woo-smart-compare/assets/libs/perfect-scrollbar/css/custom-theme.css?ver=1736416156	C:/Users/adebi/Desktop/2025_projects/adejoke_chatbot/Kwasu_Scrape/kwasu.edu.ng/wp-content/cache/min/1/wp-content/plugins/woo-smart-compare/assets/libs/perfect-scrollbar/css/custom-themefb9a.css	(from https://kwasu.edu.ng/)
15:31:11	34457/34457	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202025%2009:49:17%20GMT	https://kwasu.edu.ng/wp-content/cache/background-css/kwasu.edu.ng/wp-content/cache/min/1/wp-content/plugins/woo-smart-compare/assets/css/frontend.css?ver=1736416156&wpr_t=1736845834	C:/Users/adebi/Desktop/2025_projects/adejoke_chatbot/Kwasu_Scrape/kwasu.edu.ng/wp-content/cache/background-css/kwasu.edu.ng/wp-content/cache/min/1/wp-content/plugins/woo-smart-compare/assets/css/frontend402c.css	(from https://kwasu.edu.ng/)
15:31:12	2599/2599	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202025%2009:49:16%20GMT	https://kwasu.edu.ng/wp-content/cache/min/1/wp-content/plugins/woo-smart-wishlist/assets/css/icons.css?ver=1736416156	C:/Users/adebi/Desktop/2025_projects/adejoke_chatbot/Kwasu_Scrape/kwasu.edu.ng/wp-content/cache/min/1/wp-content/plugins/woo-smart-wishlist/assets/css/iconsfb9a.css	(from https://kwasu.edu.ng/)
15:31:12	16840/16840	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202025%2009:49:17%20GMT	https://kwasu.edu.ng/wp-content/cache/background-css/kwasu.edu.ng/wp-content/cache/min/1/wp-content/plugins/woo-smart-wishlist/assets/css/frontend.css?ver=1736416156&wpr_t=1736845834	C:/Users/adebi/Desktop/2025_projects/adejoke_chatbot/Kwasu_Scrape/kwasu.edu.ng/wp-content/cache/background-css/kwasu.edu.ng/wp-content/cache/min/1/wp-content/plugins/woo-smart-wishlist/assets/css/frontend402c.css	(from https://kwasu.edu.ng/)
15:31:13	13437/13437	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202025%2009:49:16%20GMT	https://kwasu.edu.ng/wp-content/cache/min/1/wp-content/themes/unicamp/assets/libs/swiper/css/swiper.min.css?ver=1736416156	C:/Users/adebi/Desktop/2025_projects/adejoke_chatbot/Kwasu_Scrape/kwasu.edu.ng/wp-content/cache/min/1/wp-content/themes/unicamp/assets/libs/swiper/css/swiper.minfb9a.css	(from https://kwasu.edu.ng/)
15:31:13	175514/175514	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202025%2009:49:16%20GMT	https://kwasu.edu.ng/wp-content/cache/min/1/wp-content/themes/unicamp/assets/fonts/awesome/css/fontawesome-all.min.css?ver=1736416156	C:/Users/adebi/Desktop/2025_projects/adejoke_chatbot/Kwasu_Scrape/kwasu.edu.ng/wp-content/cache/min/1/wp-content/themes/unicamp/assets/fonts/awesome/css/fontawesome-all.minfb9a.css	(from https://kwasu.edu.ng/)
